date,number,speaker1,party_speaker1,role_speaker1,speaker2,party_speaker2,role_speaker2
22.04.2015,3,Гордана Јанкуловска,ВМРО-ДПМНЕ,политичар,Мартин Протугер,ВМРО-ДПМНЕ,политичар
22.04.2015,4,Гордана Јанкуловска,ВМРО-ДПМНЕ,политичар,Мајран Цветковски,,
22.04.2015,5,Мартин Протугер,ВМРО-ДПМНЕ,политичар,Емил Стојменов,,
22.04.2015,6,Мартин Протугер,ВМРО-ДПМНЕ,политичар,Емил Стојменов,,
22.04.2015,7,Мартин Протугер,ВМРО-ДПМНЕ,политичар,Емил Стојменов,,
22.04.2015,8,Драган Павловиќ Латас,Независен,новинар,Сашо Мијалков,ВМРО-ДПМНЕ,политичар
22.04.2015,9,Драган Павловиќ Латас,Независен,новинар,Горан Иванов,,
22.04.2015,10,Гордана Јанкуловска,ВМРО-ДПМНЕ,политичар,Зоран Ставрески,ВМРО-ДПМНЕ,политичар
22.04.2015,11,Мартин Протугер,ВМРО-ДПМНЕ,политичар,Драган Павловиќ Латас,Независен,новинар
22.04.2015,12,Драган Павловиќ Латас,Независен,новинар,Горан Иванов,,
22.04.2015,13,Мартин Протугер,ВМРО-ДПМНЕ,политичар,Драган Павловиќ Латас,Независен,новинар
22.04.2015,14,Миле Јанакиески,ВМРО-ДПМНЕ,политичар,Горан Иванов,,
22.04.2015,15,Миле Јанакиески,ВМРО-ДПМНЕ,политичар,Горан Иванов,,
22.04.2015,16,Драган Павловиќ Латас,Независен,новинар,Соговорник 32,,
22.04.2015,17,Драган Павловиќ Латас,Независен,новинар,Соговорник 33,,
22.04.2015,18,Драган Павловиќ Латас,Независен,новинар,Горан Трајковски,,
22.04.2015,19,Драган Павловиќ Латас,Независен,новинар,Горан Трајковски,,
22.04.2015,20,Мартин Протугер,ВМРО-ДПМНЕ,политичар,Емил Стојменов,,
22.04.2015,21,Мартин Протугер,ВМРО-ДПМНЕ,политичар,Емил Стојменов,,
22.04.2015,22,Горан Иванов,,,Драган Павловиќ Латас,Независен,новинар
22.04.2015,23,Миле Јанакиески,ВМРО-ДПМНЕ,политичар,Горан Иванов,,
22.04.2015,24,Миле Јанакиески,ВМРО-ДПМНЕ,политичар,Горан Иванов,,
22.04.2015,25,Горан Иванов,,,Драган Павловиќ Латас,Независен,новинар
22.04.2015,26,Горан Иванов,,,Драган Павловиќ Латас,Независен,новинар
23.04.2015,1,Гордана Јанкуловска,ВМРО-ДПМНЕ,политичар,Илија Димовски,,
23.04.2015,2,Ивона Талеска,,,Драган Павловиќ Латас,Независен,новинар
23.04.2015,3,Гордана Јанкуловска,ВМРО-ДПМНЕ,политичар,Сашо Мијалков,ВМРО-ДПМНЕ,политичар
23.04.2015,4,Гордана Јанкуловска,ВМРО-ДПМНЕ,политичар,Сашо Мијалков,ВМРО-ДПМНЕ,политичар
23.04.2015,5,Гордана Јанкуловска,ВМРО-ДПМНЕ,политичар,Никола Груевски,ВМРО-ДПМНЕ,политичар
25.04.2015,1,Сашо Акимовски,,,Влатко Чинговски,,
25.04.2015,2,Дарко Димитриески,,,Антонио Милошоски,,
25.04.2015,3,Гордана Јанкуловска,ВМРО-ДПМНЕ,политичар,Сашо Мијалков,ВМРО-ДПМНЕ,политичар
25.04.2015,4,Силвана Бонева,,,Никола Груевски,ВМРО-ДПМНЕ,политичар
25.04.2015,5,Гордана Јанкуловска,,,Никола Груевски,ВМРО-ДПМНЕ,политичар
25.04.2015,6,Муса Џафери,,,Сашо Мијалков,ВМРО-ДПМНЕ,политичар
25.04.2015,7,Драган Павловиќ Латас,Независен,новинар,Мартин Протугер,,
29.04.2015,1,Гордана Јанкуловска,ВМРО-ДПМНЕ,политичар,Иво Котевски,,
29.04.2015,2,Гордана Јанкуловска,ВМРО-ДПМНЕ,политичар,Трајко Вељаноски,,
29.04.2015,3,Емил Стојменов,,,Сашо Мијалков,ВМРО-ДПМНЕ,политичар
29.04.2015,4,Гордана Јанкуловска,ВМРО-ДПМНЕ,политичар,Љупчо Тодоровски,,
29.04.2015,5,Гордана Јанкуловска,ВМРО-ДПМНЕ,политичар,Сашо Мијалков,ВМРО-ДПМНЕ,политичар
29.04.2015,6,Емил Стојменов,,,Сашо Мијалков,ВМРО-ДПМНЕ,политичар
29.04.2015,7,Гордана Јанкуловска,ВМРО-ДПМНЕ,политичар,Трајко Вељаноски,,
29.04.2015,8,Гордана Јанкуловска,ВМРО-ДПМНЕ,политичар,Трајко Вељаноски,,
29.04.2015,9,Гордана Јанкуловска,ВМРО-ДПМНЕ,политичар,Сашо Мијалков,ВМРО-ДПМНЕ,политичар
29.04.2015,10,Гордана Јанкуловска,ВМРО-ДПМНЕ,политичар,Сашо Мијалков,ВМРО-ДПМНЕ,политичар
29.04.2015,11,Гордана Јанкуловска,ВМРО-ДПМНЕ,политичар,Сашо Мијалков,ВМРО-ДПМНЕ,политичар
29.04.2015,12,Гордана Јанкуловска,ВМРО-ДПМНЕ,политичар,Никола Поповски,,
29.04.2015,13,Гордана Јанкуловска,ВМРО-ДПМНЕ,политичар,Митко Чавков,,
30.04.2015,1,Миле Јанакиески,ВМРО-ДПМНЕ,политичар,Александар Панов,,
30.04.2015,2,Миле Јанакиески,ВМРО-ДПМНЕ,политичар,Александар Панов,,
30.04.2015,3,Зоран Ставрески,ВМРО-ДПМНЕ,политичар,Александар Панов,,
30.04.2015,4,Миле Јанакиески,ВМРО-ДПМНЕ,политичар,Александар Панов,,
30.04.2015,5,Миле Јанакиески,ВМРО-ДПМНЕ,политичар,Александар Панов,,
30.04.2015,6,Влатко Мијалков,ВМРО-ДПМНЕ,политичар,Ќире Шошев ,,
30.04.2015,7,Влатко Мијалков,ВМРО-ДПМНЕ,политичар,Ќире Шошев ,,
30.04.2015,8,Влатко Мијалков,ВМРО-ДПМНЕ,политичар,Ќире Шошев ,,
30.04.2015,9,Миле Јанакиески,ВМРО-ДПМНЕ,политичар,Александар Панов,,
30.04.2015,10,Миле Јанакиески,ВМРО-ДПМНЕ,политичар,Мартин Протугер,ВМРО-ДПМНЕ,политичар
30.04.2015,11,Слободан Николовски-Цобе,,,Сашо Мијалков,ВМРО-ДПМНЕ,политичар
30.04.2015,12,Слободан Николовски-Цобе,,,Сашо Мијалков,ВМРО-ДПМНЕ,политичар
30.04.2015,13,Слободан Николовски-Цобе,,,Сашо Мијалков,ВМРО-ДПМНЕ,политичар
30.04.2015,14,Слободан Николовски-Цобе,,,Сашо Мијалков,ВМРО-ДПМНЕ,политичар
30.04.2015,15,Слободан Николовски-Цобе,,,Сашо Мијалков,ВМРО-ДПМНЕ,политичар
30.04.2015,16,Муса Џафери,,,Сашо Мијалков,ВМРО-ДПМНЕ,политичар
30.04.2015,17,Слободан Николовски-Цобе,,,Сашо Мијалков,ВМРО-ДПМНЕ,политичар
30.04.2015,18,Слободан Николовски-Цобе,,,Сашо Мијалков,ВМРО-ДПМНЕ,политичар
30.04.2015,19,Дејан Митровски-Урко,,,Сашо Мијалков,ВМРО-ДПМНЕ,политичар
30.04.2015,20,Слободан Николовски-Цобе,,,Сашо Мијалков,ВМРО-ДПМНЕ,политичар
30.04.2015,21,Слободан Николовски-Цобе,,,Сашо Мијалков,ВМРО-ДПМНЕ,политичар
